STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
  -19.816661     14.099887    58.973108
   -9.213419     -4.960792    13.746454
   -2.593572     11.568685    25.064097
  -22.360337     18.081982   -20.898269
  -26.318523     -4.541091   -71.575843
   -4.021856     -1.606040  -101.612167
   -0.290283    -11.217851   -94.819762
   20.657883    -17.043773   -22.256386
   48.227974      9.536966     0.233629
   22.196095     17.179949     3.130478
   10.071013      7.882329     1.078230
   24.501463     -3.446489   -75.309236
    9.717841    -16.916953   -84.442353
   -2.445183    -13.254507   -20.931013
  -11.021643      1.994816    20.326020
   -2.981049     -2.486503    65.860628
   23.275104     -2.149183    32.288678
    0.643455      0.724797   -43.824098
  -10.576734    -10.312699    30.585444
   -4.835271     10.673928   138.536790
  -37.400978     17.057287   147.518140
  -20.297173     -8.857908    83.660643
   19.652678    -17.260511   -76.695420
    3.580325    -35.874720  -123.631025
   10.206149    -41.578761   -31.463308
   32.234623    -10.309061   -27.930281
   -4.213906     -9.229532     4.915573
  -12.526851    -13.765945    63.720541
   18.347316     18.712184    54.545064
   21.504302     29.298013    71.559731
   19.616555     31.975786    12.682257
    5.066042     45.852438  -121.001330
   -4.227679     32.274644  -172.883954
    5.700402      7.101659  -143.900392
    6.141153    -19.699716     0.814714
  -17.085613    -19.568218   155.034562
  -50.080117      6.887260   111.698773
  -48.240188     -3.254440    54.795065
  -22.212727      3.982095    77.010651
    3.814475     14.166415    59.377217
   23.944547    -16.250109    25.733280
   10.614676    -10.102199   -96.748309
   -1.285352     -8.475109  -199.671036
   42.587603    -26.583598  -141.347880
   90.966825    -22.622813   -49.764366
   54.414865     -0.765858    46.795012
  -26.176631     23.469752   118.263526
  -47.145846     38.620061    91.819742
  -42.447010     45.693653    64.750174
  -20.252734     12.097014    38.579780
   22.863199      2.003652   -35.551174
    9.554638     12.181215   -80.570966
  -22.097081    -27.454446   -99.482995
   10.474083    -60.918287   -76.746096
   74.552734    -71.591696   -42.902574
   70.645224    -49.253448   -33.450848
    9.329324      1.251828    11.536980
  -37.191257     34.526479    65.135052
  -52.627691     48.787749    61.846308
  -37.269740     31.022817    23.578900
    2.845913     16.538832    -7.946259
   37.099261     24.817994   -70.394702
   38.633575     -8.376096   -53.385493
   42.800183    -30.687316   -13.415111
   19.744935     -7.923390   -73.305065
  -51.774255      4.238074   -20.070820
  -63.576569     22.259245    12.703567
  -27.617129     20.906845   -26.931573
    5.944686      5.311886    80.191026
   51.008917      7.043446    95.960102
   36.832367    -11.209794    27.534228
   11.592593    -29.832320    78.758843
   13.670050    -21.898016    65.156361
  -46.866478    -34.923571    52.902381
  -79.210250    -33.723719    62.099688
  -60.437775     26.660522   -47.212374
  -37.172026     26.727050   -34.688642
   43.099301      0.265854    34.282974
   83.329040     20.949465    32.155101
   48.857916      7.435341    87.005520
   41.405943    -15.231911    50.007871
   33.492948     -6.627643   -95.161240
   -3.446749     -0.990131  -131.748543
  -25.020958     14.400564   -99.373327
  -70.192258     42.286146   -70.736700
  -76.393183      5.207415     3.201165
   -1.731820    -36.603675    -3.183233
   39.147611    -18.896436   -29.811270
   55.171627      7.245891     0.424379
   29.476029     34.947219   -10.142480
  -27.442491     17.886035   -14.036996
  -48.894298    -15.177856    -8.290856
  -34.736719     -6.594899    19.517542
  -17.675014      4.484438    22.136323
  -17.796897      6.326186   -12.222015
    6.007577     24.429997    -0.533527
   24.345797     29.664700    31.002546
   18.547162     -4.370092    86.918721
    4.050183    -28.873374    84.332945
  -18.556517    -41.998202     2.975332
  -22.941942    -41.321483    -8.955881
   -0.488309    -33.890040   -40.952717
  -17.258951    -35.185007   -86.359726
  -54.284927     11.954082   -48.757863
  -30.726817     39.403330   -49.604542
    6.515636     11.421074   -60.548742
   34.478401     20.119677    -2.622419
   39.472458     15.576248   112.224504
   -3.142433    -16.008683   157.725328
  -34.739838    -28.193276   154.446720
  -19.138122    -33.464621   137.127737
  -34.146798    -38.658263   -15.959826
  -29.624419    -46.193137  -128.892755
   30.924323    -14.275044  -155.678537
    9.437953     20.014947   -79.962594
